Country,2023 SDG Index Score,2023 SDG Index Rank
Finland,86.8,1
Sweden,86.0,2
Denmark,85.7,3
Germany,83.4,4
Austria,82.3,5
France,82.0,6
Norway,82.0,7
Czechia,81.9,8
Poland,81.8,9
Estonia,81.7,10
United Kingdom,81.7,11
Croatia,81.5,12
Slovenia,81.0,13
Latvia,80.7,14
Switzerland,80.5,15
Spain,80.4,16
Ireland,80.1,17
Portugal,80.0,18
Belgium,79.5,19
Netherlands,79.4,20
Japan,79.4,21
Hungary,79.4,22
Slovak Republic,79.1,23
Italy,78.8,24
Moldova,78.6,25
Canada,78.5,26
New Zealand,78.4,27
Greece,78.4,28
Iceland,78.3,29
Chile,78.2,30
"Korea, Rep.",78.1,31
Uruguay,77.7,32
Luxembourg,77.6,33
Belarus,77.5,34
Romania,77.5,35
Serbia,77.3,36
Lithuania,76.8,37
Ukraine,76.5,38
United States,75.9,39
Australia,75.9,40
Malta,75.5,41
Georgia,75.0,42
Thailand,74.7,43
Bulgaria,74.6,44
Kyrgyz Republic,74.4,45
Cuba,74.1,46
Bosnia and Herzegovina,74.0,47
Israel,74.0,48
Russian Federation,73.8,49
Brazil,73.7,50
Argentina,73.7,51
Costa Rica,73.6,52
Azerbaijan,73.5,53
Albania,73.5,54
Vietnam,73.3,55
Armenia,73.3,56
Fiji,72.9,57
Tunisia,72.5,58
Cyprus,72.5,59
North Macedonia,72.5,60
Bhutan,72.3,61
Dominican Republic,72.1,62
China,72.0,63
Singapore,71.8,64
Peru,71.7,65
Kazakhstan,71.6,66
Montenegro,71.4,67
Maldives,71.3,68
Uzbekistan,71.1,69
Morocco,70.9,70
Algeria,70.8,71
Türkiye,70.8,72
El Salvador,70.7,73
Ecuador,70.4,74
Indonesia,70.2,75
Colombia,70.1,76
Jordan,69.9,77
Malaysia,69.8,78
United Arab Emirates,69.7,79
Mexico,69.7,80
"Egypt, Arab Rep.",69.6,81
Jamaica,69.6,82
Sri Lanka,69.4,83
Barbados,69.4,84
Tajikistan,69.2,85
"Iran, Islamic Rep.",69.1,86
Bolivia,68.9,87
Paraguay,68.8,88
Cabo Verde,68.8,89
Oman,68.6,90
Turkmenistan,68.5,91
Suriname,68.2,92
Mauritius,68.0,93
Saudi Arabia,67.7,94
Lebanon,67.5,95
Guyana,67.4,96
Panama,67.3,97
Philippines,67.1,98
Nepal,66.5,99
Qatar,66.2,100
Bangladesh,65.9,101
Brunei Darussalam,65.7,102
Cambodia,64.8,103
Nicaragua,64.8,104
Iraq,64.8,105
Mongolia,64.7,106
Belize,64.6,107
Kuwait,64.4,108
Namibia,64.3,109
South Africa,64.0,110
Bahrain,63.7,111
India,63.4,112
Gabon,63.1,113
Trinidad and Tobago,63.0,114
Lao PDR,63.0,115
Honduras,62.9,116
"Venezuela, RB",62.9,117
Botswana,62.7,118
Sao Tome and Principe,62.7,119
Cote d'Ivoire,62.3,120
Senegal,61.8,121
Ghana,61.8,122
Kenya,60.9,123
"Bahamas, The",60.9,124
Myanmar,60.4,125
Rwanda,60.2,126
Guatemala,59.4,127
Pakistan,59.0,128
"Gambia, The",58.3,129
Syrian Arab Republic,58.2,130
Mali,58.0,131
Eswatini,57.9,132
Mauritania,57.2,133
Tanzania,56.8,134
Malawi,56.3,135
Togo,56.3,136
Sierra Leone,55.7,137
Zimbabwe,55.6,138
Cameroon,55.1,139
Benin,55.1,140
Uganda,55.0,141
Guinea,54.9,142
Lesotho,54.9,143
Ethiopia,54.5,144
Zambia,54.3,145
Nigeria,54.3,146
Burundi,53.9,147
Papua New Guinea,53.6,148
Mozambique,52.7,149
Djibouti,52.7,150
"Congo, Rep.",52.6,151
Haiti,52.6,152
Burkina Faso,52.4,153
Comoros,51.7,154
Angola,50.8,155
Madagascar,50.3,156
Liberia,49.9,157
Afghanistan,49.0,158
"Congo, Dem. Rep.",48.6,159
Sudan,48.6,160
Niger,48.3,161
Somalia,48.0,162
"Yemen, Rep.",46.8,163
Chad,45.3,164
Central African Republic,40.4,165
South Sudan,38.7,166